"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2025","Peralta, Freddy","642547","Brewers","MIL","R","94.8","1651","3086",19.049382716049383,0.5349967595593,"FF","4-Seam Fastball",13.9,-15.1,1.2,"8",16.8,4.6,-8.3,-3.7,"-45",0.7922374429223744,0.09817351598173515
"2025","Gausman, Kevin","592332","Blue Jays","TOR","R","94.5","1628","3030",18.703703703703702,0.5372937293729373,"FF","4-Seam Fastball",14.1,-14.6,0.5,"3",16.8,11.1,-7.4,3.7,"50",0.6232876712328768,0.8995433789954338
"2025","Ray, Robbie","592662","Giants","SF","L","93.6","1595","3069",18.944444444444443,0.5197132616487455,"FF","4-Seam Fastball",13.2,-14.8,1.5,"10",18.2,8.2,-6.9,1.3,"19",0.8493150684931506,0.6461187214611872
"2025","Nelson, Ryne","669194","D-backs","AZ","R","95.7","1526","2466",15.222222222222221,0.6188158961881589,"FF","4-Seam Fastball",10.8,-13.3,2.5,"19",19.2,3.2,-6.7,-3.4,"-52",0.95662100456621,0.12100456621004566
"2025","Parker, Mitchell","680730","Nationals","WSH","L","93","1501","2705",16.69753086419753,0.5548983364140481,"FF","4-Seam Fastball",13.8,-14.4,0.6,"4",18,5.8,-6.3,-0.5,"-8",0.6484018264840182,0.4155251141552511
"2025","Gallen, Zac","668678","D-backs","AZ","R","93.5","1410","3134",19.34567901234568,0.44990427568602426,"FF","4-Seam Fastball",14.2,-14.7,0.5,"4",17.2,4.3,-7,-2.7,"-39",0.6232876712328768,0.18493150684931506
"2025","Ryan, Joe","657746","Twins","MIN","R","93.7","1403","2795",17.253086419753085,0.5019677996422183,"FF","4-Seam Fastball",17.7,-18.1,0.4,"2",13.7,12.6,-11.4,1.3,"11",0.6118721461187214,0.6461187214611872
"2025","Gore, MacKenzie","669022","Nationals","WSH","L","95.3","1388","2818",17.395061728395063,0.49254790631653655,"FF","4-Seam Fastball",13.2,-14.2,0.9,"7",17,6.6,-7.6,-1,"-13",0.7328767123287672,0.3538812785388128
"2025","Castillo, Luis","622491","Mariners","SEA","R","95","1386","2988",18.444444444444443,0.463855421686747,"FF","4-Seam Fastball",18.1,-17.7,-0.4,"-2",12.4,13,-12,1,"8",0.4360730593607306,0.6141552511415526
"2025","Pivetta, Nick","601713","Padres","SD","R","93.8","1383","2851",17.598765432098766,0.48509294984216067,"FF","4-Seam Fastball",11.7,-13.2,1.5,"12",19.7,2.7,-5.4,-2.7,"-51",0.8493150684931506,0.18493150684931506
"2025","Soriano, José","667755","Angels","LAA","R","97.2","1368","2784",17.185185185185187,0.49137931034482757,"SI","Sinker",25.8,-20.7,5.1,"25",3.1,13.3,-15.1,-1.9,"-12",0.9674267100977199,0.13029315960912052
